Active,Population Density,Urban Population,Rural Population,Y
1,46,143488,237093,0
1,46,143488,237093,5
6,46,143488,237093,3
9,46,143488,237093,0
9,46,143488,237093,1
10,46,143488,237093,0
10,46,143488,237093,0
10,46,143488,237093,0
10,46,143488,237093,0
10,46,143488,237093,0
10,46,143488,237093,0
10,46,143488,237093,0
10,46,143488,237093,0
10,46,143488,237093,1
11,46,143488,237093,0
11,46,143488,237093,0
11,46,143488,237093,0
1,46,143488,237093,0
1,46,143488,237093,0
1,46,143488,237093,0
1,46,143488,237093,0
1,46,143488,237093,0
1,46,143488,237093,1
1,46,143488,237093,2
3,46,143488,237093,1
4,46,143488,237093,1
5,46,143488,237093,1
6,46,143488,237093,1
7,46,143488,237093,4
11,46,143488,237093,5
16,46,143488,237093,6
22,46,143488,237093,0
22,46,143488,237093,0
22,46,143488,237093,0
18,46,143488,237093,0
18,46,143488,237093,0
17,46,143488,237093,0
17,46,143488,237093,0
16,46,143488,237093,0
1,46,143488,237093,0
1,46,143488,237093,0
1,46,143488,237093,0
1,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,0
0,46,143488,237093,1
1,46,143488,237093,4
5,46,143488,237093,0
5,46,143488,237093,0
5,46,143488,237093,0
5,46,143488,237093,3
8,46,143488,237093,3
11,46,143488,237093,0
11,46,143488,237093,0
11,46,143488,237093,1
10,46,143488,237093,2
11,46,143488,237093,1
11,46,143488,237093,0
11,46,143488,237093,2
10,46,143488,237093,6
13,46,143488,237093,3
16,46,143488,237093,13
29,46,143488,237093,0
29,46,143488,237093,4
31,46,143488,237093,14
44,46,143488,237093,7
47,46,143488,237093,3
