prev,dens,urb,rur,y
1,46,143488,237093,1
1,46,143488,237093,6
6,46,143488,237093,9
9,46,143488,237093,9
9,46,143488,237093,10
10,46,143488,237093,10
10,46,143488,237093,10
10,46,143488,237093,10
10,46,143488,237093,10
10,46,143488,237093,10
10,46,143488,237093,10
10,46,143488,237093,10
10,46,143488,237093,10
10,46,143488,237093,11
11,46,143488,237093,11
11,46,143488,237093,11
11,46,143488,237093,11
11,46,143488,237093,11
11,46,143488,237093,11
11,46,143488,237093,11
11,46,143488,237093,11
11,46,143488,237093,11
11,46,143488,237093,12
12,46,143488,237093,14
14,46,143488,237093,15
15,46,143488,237093,16
16,46,143488,237093,17
17,46,143488,237093,18
18,46,143488,237093,22
22,46,143488,237093,27
27,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,33
33,46,143488,237093,34
34,46,143488,237093,38
38,46,143488,237093,38
38,46,143488,237093,38
38,46,143488,237093,38
38,46,143488,237093,41
41,46,143488,237093,44
44,46,143488,237093,44
44,46,143488,237093,44
44,46,143488,237093,45
45,46,143488,237093,47
47,46,143488,237093,48
48,46,143488,237093,48
48,46,143488,237093,50
50,46,143488,237093,56
56,46,143488,237093,59
59,46,143488,237093,72
72,46,143488,237093,72
72,46,143488,237093,76
76,46,143488,237093,90
90,46,143488,237093,97
97,46,143488,237093,100
100,46,143488,237093,109
109,46,143488,237093,116
116,46,143488,237093,119
119,46,143488,237093,125
125,46,143488,237093,141
141,46,143488,237093,147
147,46,143488,237093,149
149,46,143488,237093,151
151,46,143488,237093,156
156,46,143488,237093,163
163,46,143488,237093,163
163,46,143488,237093,166
166,46,143488,237093,166
166,46,143488,237093,176
176,46,143488,237093,180
180,46,143488,237093,194
194,46,143488,237093,198
198,46,143488,237093,203
203,46,143488,237093,207
207,46,143488,237093,212
212,46,143488,237093,221
221,46,143488,237093,240
240,46,143488,237093,259
259,46,143488,237093,290
290,46,143488,237093,324
324,46,143488,237093,338
338,46,143488,237093,363
363,46,143488,237093,428
428,46,143488,237093,471
471,46,143488,237093,548
548,46,143488,237093,636
636,46,143488,237093,734
734,46,143488,237093,830
830,46,143488,237093,928
928,46,143488,237093,1027
1027,46,143488,237093,1123
