Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Active,Population Density,Urban Population,Rural Population,Y1_New_Confirmed,Y2_New_Cured,Y3_New_Deaths
366,26/03/20,6:00 PM,Andaman and Nicobar Islands,1,0,0,0,1,1,46,143488,237093,0,0,0
393,27/03/20,10:00 AM,Andaman and Nicobar Islands,1,0,0,0,1,1,46,143488,237093,5,0,0
421,28/03/20,6:00 PM,Andaman and Nicobar Islands,6,0,0,0,6,6,46,143488,237093,3,0,0
448,29/03/20,7:30 PM,Andaman and Nicobar Islands,-,-,0,0,9,9,46,143488,237093,0,0,0
475,30/03/20,9:30 PM,Andaman and Nicobar Islands,-,-,0,0,9,9,46,143488,237093,1,0,0
503,31/03/20,8:30 PM,Andaman and Nicobar Islands,-,-,0,0,10,10,46,143488,237093,0,0,0
531,01/04/20,7:30 PM,Andaman and Nicobar Islands,-,-,0,0,10,10,46,143488,237093,0,0,0
560,02/04/20,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,10,46,143488,237093,0,0,0
589,03/04/20,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,10,46,143488,237093,0,0,0
620,04/04/20,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,10,46,143488,237093,0,0,0
650,05/04/20,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,10,46,143488,237093,0,0,0
680,06/04/20,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,10,46,143488,237093,0,0,0
710,07/04/20,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,10,46,143488,237093,0,0,0
741,08/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,10,46,143488,237093,1,0,0
772,09/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,11,11,46,143488,237093,0,0,0
803,10/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,11,11,46,143488,237093,0,0,0
834,11/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,11,11,46,143488,237093,0,10,0
865,12/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11,1,46,143488,237093,0,0,0
896,13/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11,1,46,143488,237093,0,0,0
928,14/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11,1,46,143488,237093,0,0,0
960,15/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11,1,46,143488,237093,0,0,0
993,16/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11,1,46,143488,237093,0,0,0
1026,17/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11,1,46,143488,237093,1,1,0
1059,18/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,12,1,46,143488,237093,2,0,0
1092,19/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,14,3,46,143488,237093,1,0,0
1125,20/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,15,4,46,143488,237093,1,0,0
1158,21/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,16,5,46,143488,237093,1,0,0
1191,22/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,17,6,46,143488,237093,1,0,0
1223,23/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,18,7,46,143488,237093,4,0,0
1255,24/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,22,11,46,143488,237093,5,0,0
1287,25/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,27,16,46,143488,237093,6,0,0
1319,26/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,33,22,46,143488,237093,0,0,0
1351,27/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,33,22,46,143488,237093,0,0,0
1383,28/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,33,22,46,143488,237093,0,4,0
1415,29/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,15,0,33,18,46,143488,237093,0,0,0
1447,30/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,15,0,33,18,46,143488,237093,0,1,0
1479,01/05/20,5:00 PM,Andaman and Nicobar Islands,-,-,16,0,33,17,46,143488,237093,0,0,0
1511,02/05/20,5:00 PM,Andaman and Nicobar Islands,-,-,16,0,33,17,46,143488,237093,0,1,0
1543,03/05/20,5:00 PM,Andaman and Nicobar Islands,-,-,17,0,33,16,46,143488,237093,0,15,0
1575,04/05/20,5:00 PM,Andaman and Nicobar Islands,-,-,32,0,33,1,46,143488,237093,0,0,0
1607,05/05/20,5:00 PM,Andaman and Nicobar Islands,-,-,32,0,33,1,46,143488,237093,0,0,0
1639,06/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,32,0,33,1,46,143488,237093,0,0,0
1672,07/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,32,0,33,1,46,143488,237093,0,1,0
1705,08/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
1738,09/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
1771,10/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
1804,11/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
1837,12/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
1870,13/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
1903,14/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
1936,15/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
1969,16/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
2002,17/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
2035,18/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
2068,19/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
2101,20/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
2135,21/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
2169,22/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
2203,23/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
2237,24/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
2272,25/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
2307,26/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
2343,27/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
2379,28/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
2415,29/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,46,143488,237093,0,0,0
